_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,gps_lock,satellites,temperature_internal,temperature_external,battery
"$$VR2SC,160,12:51:49,52.24182,-0.12400,4066,3,10,18.4,-5.1,4.9*FD46","G8FJG_2,G8KNN,EARS_chase",160,12:51:49,52.24182,-0.124,4066,3,10,18.4,-5.1,4.9
"$$VR2SC,161,12:52:03,52.24166,-0.12297,4162,3,10,18.4,-6.1,4.9*813B","G8FJG_2,G8KNN",161,12:52:03,52.24166,-0.12297,4162,3,10,18.4,-6.1,4.9
"$$VR2SC,162,12:52:17,52.24122,-0.12215,4273,3,9,18.4,-7.0,4.9*3EDC","G8FJG_2,G8KNN,EARS_chase",162,12:52:17,52.24122,-0.12215,4273,3,9,18.4,-7.0,4.9
"$$VR2SC,163,12:52:31,52.24060,-0.12118,4382,3,7,17.4,-7.0,4.9*5E59","G8FJG_2,G8KNN",163,12:52:31,52.2406,-0.12118,4382,3,7,17.4,-7.0,4.9
"$$VR2SC,164,12:52:45,52.24046,-0.11984,4461,3,10,17.4,-7.0,4.9*8EF9","G8FJG_2,G8KNN,EARS_chase",164,12:52:45,52.24046,-0.11984,4461,3,10,17.4,-7.0,4.9
"$$VR2SC,165,12:52:59,52.24014,-0.11872,4561,3,8,16.4,-7.0,4.9*04B9","G8FJG_2,G8KNN,EARS_chase",165,12:52:59,52.24014,-0.11872,4561,3,8,16.4,-7.0,4.9
"$$VR2SC,166,12:53:13,52.23997,-0.11775,4655,3,8,16.4,-8.0,4.9*CBF7","G8FJG_2,G8KNN,EARS_chase",166,12:53:13,52.23997,-0.11775,4655,3,8,16.4,-8.0,4.9
"$$VR2SC,167,12:53:27,52.23969,-0.11676,4718,3,10,16.4,-9.0,4.9*E184","G0HDI,G8FJG_2,M6EVT,EARS_chase,G8KNN",167,12:53:27,52.23969,-0.11676,4718,3,10,16.4,-9.0,4.9
"$$VR2SC,168,12:53:41,52.23924,-0.11542,4825,3,10,16.4,-9.0,4.9*D756","G8FJG_2,G8KNN,G0HDI",168,12:53:41,52.23924,-0.11542,4825,3,10,16.4,-9.0,4.9
"$$VR2SC,169,12:53:55,52.23885,-0.11415,4942,3,10,16.4,-10.0,4.9*0A72","G8FJG_2,G8KNN,G0HDI",169,12:53:55,52.23885,-0.11415,4942,3,10,16.4,-10.0,4.9
