_sentence,_receivers,sentence_id,time,latitude,longitude,altitude,satellites,battery
"$$X0,371,12:24:10,52.34799,0.06517,4247,7,4.70*EEEA","G8ZBJ,amell,2E0KPI,M0UPU,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",371,12:24:10,52.34799,0.06517,4247,7,4.7
"$$X0,372,12:24:22,52.34944,0.06800,4302,8,4.70*7724","amell,2E0KPI,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",372,12:24:22,52.34944,0.068,4302,8,4.7
"$$X0,373,12:24:34,52.35120,0.07071,4357,8,4.70*58E1","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",373,12:24:34,52.3512,0.07071,4357,8,4.7
"$$X0,377,12:25:22,52.35824,0.08069,4581,8,4.70*4913","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",377,12:25:22,52.35824,0.08069,4581,8,4.7
"$$X0,374,12:24:46,52.35290,0.07324,4407,8,4.70*28FA","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",374,12:24:46,52.3529,0.07324,4407,8,4.7
"$$X0,375,12:24:58,52.35457,0.07537,4471,8,4.71*0354","2E0KPI,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",375,12:24:58,52.35457,0.07537,4471,8,4.71
"$$X0,378,12:25:34,52.36010,0.08339,4641,8,4.70*D48C","G8ZBJ,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",378,12:25:34,52.3601,0.08339,4641,8,4.7
"$$X0,376,12:25:10,52.35646,0.07836,4527,8,4.70*185B","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",376,12:25:10,52.35646,0.07836,4527,8,4.7
"$$X0,379,12:25:46,52.36209,0.08606,4713,8,4.70*297A","G8ZBJ,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",379,12:25:46,52.36209,0.08606,4713,8,4.7
"$$X0,380,12:25:58,52.36395,0.08897,4772,8,4.70*B16A","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",380,12:25:58,52.36395,0.08897,4772,8,4.7
"$$X0,381,12:26:10,52.36591,0.09201,4827,8,4.70*DC21","2E0KPI,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",381,12:26:10,52.36591,0.09201,4827,8,4.7
"$$X0,382,12:26:22,52.36797,0.09473,4878,8,4.69*1166","2E0KPI,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",382,12:26:22,52.36797,0.09473,4878,8,4.69
"$$X0,383,12:26:34,52.36993,0.09738,4928,8,4.69*7CCA","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",383,12:26:34,52.36993,0.09738,4928,8,4.69
"$$X0,384,12:26:46,52.37189,0.10017,4984,8,4.69*2B2E","2E0KPI,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",384,12:26:46,52.37189,0.10017,4984,8,4.69
"$$X0,385,12:26:58,52.37393,0.10304,5043,8,4.70*54D4","2E0KPI,G8ZBJ,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",385,12:26:58,52.37393,0.10304,5043,8,4.7
"$$X0,386,12:27:10,52.37596,0.10584,5104,8,4.69*B514","2E0KPI,G8ZBJ,G6GZH,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",386,12:27:10,52.37596,0.10584,5104,8,4.69
"$$X0,387,12:27:22,52.37799,0.10860,5188,8,4.69*C0D8","G8ZBJ,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI",387,12:27:22,52.37799,0.1086,5188,8,4.69
"$$X0,388,12:27:34,52.37998,0.11160,5249,8,4.69*4DD3","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",388,12:27:34,52.37998,0.1116,5249,8,4.69
"$$X0,389,12:27:46,52.38198,0.11465,5296,8,4.69*2481","M0UPU,G0HWW,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",389,12:27:46,52.38198,0.11465,5296,8,4.69
"$$X0,390,12:27:58,52.38404,0.11771,5352,7,4.69*CE0F","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",390,12:27:58,52.38404,0.11771,5352,7,4.69
"$$X0,391,12:28:10,52.38608,0.12084,5407,8,4.69*C881","2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,G0WXI,PD3T",391,12:28:10,52.38608,0.12084,5407,8,4.69
"$$X0,393,12:28:34,52.39021,0.12717,5507,8,4.69*5D8F","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",393,12:28:34,52.39021,0.12717,5507,8,4.69
"$$X0,394,12:28:46,52.39228,0.13045,5571,8,4.69*191C","G8ZBJ,2E0KPI,M0UPU,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",394,12:28:46,52.39228,0.13045,5571,8,4.69
"$$X0,392,12:28:22,52.38813,0.12403,5460,8,4.68*9ECE","M0UPU,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",392,12:28:22,52.38813,0.12403,5460,8,4.68
"$$X0,395,12:28:58,52.39435,0.13368,5607,8,4.69*4F01","M0UPU,2E0KPI,G8ZBJ,G0HWW,G8KNN,G8KHW,G8FJG_1,PE1ANS,G0WXI,PD3T",395,12:28:58,52.39435,0.13368,5607,8,4.69
